Street,street_lon,street_lat,street_E,street_N,veg_lon,veg_lat,veg_E,veg_N,bound_lon,bound_lat,bound_E,bound_N,Drain,drain_lon,drain_lat,drain_E,drain_N,Wetland,wetland_lon,wetland_lat,wetland_E,wetland_N,swan_lon,swan_lat,swan_E,swan_N,Path,path_lon,path_lat,path_E,path_N
Maley_St,115.93917,-31.918073,399706.94,6468154.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,115.9458,-31.91749,400332.2,6468225,115.9529,-31.92143,401008.6,6467795,Footpath,115.9493602,-31.92066067,400673.62,6467876.9
Maley_St,115.93918,-31.918014,399708.54,6468160.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,115.9459,-31.9176,400344.4,6468214,115.9531,-31.92117,401030,6467824,Footpath,115.9494037,-31.92064452,400677.72,6467878.7
Maley_St,115.94077,-31.91664,399857.45,6468314.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,115.9466,-31.91754,400407.5,6468220,115.9536,-31.9207,401075.3,6467877,Footpath,115.9494418,-31.92064682,400681.32,6467878.5
Maley_St,115.9408,-31.9166,399859.5,6468319.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,115.9467,-31.91746,400419.3,6468229,115.9538,-31.92043,401097,6467906,Footpath,115.9494717,-31.92066298,400684.17,6467876.7
Maley_St,115.9408,-31.916538,399860.03,6468326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,115.9468,-31.91741,400425.3,6468235,115.9539,-31.92007,401098.4,6467947,NA,NA,NA,NA,NA
Maley_St,115.94078,-31.916503,399857.6,6468329.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,115.9468,-31.91699,400431.9,6468282,115.95531,-31.91775,401233,6468205,NA,NA,NA,NA,NA
Maley_St,115.93937,-31.915313,399723.44,6468460.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,115.9471,-31.91681,400452.7,6468302,115.954354,-31.91766,401142.55,6468214,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,115.9472,-31.91674,400466.6,6468309,NA,NA,NA,NA,NA,NA,NA,NA,NA
Margaret_St,115.94317,-31.916023,400083.53,6468385.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,115.9472,-31.91671,400466.7,6468313,115.9403,-31.92245,399817,6467670,NA,NA,NA,NA,NA
Margaret_St,115.94312,-31.915885,400078.8,6468400.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,115.9471,-31.91663,400454.1,6468322,115.9404,-31.92165,399828.8,6467759,NA,NA,NA,NA,NA
Margaret_St,115.94304,-31.915806,400071.21,6468409.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,115.947,-31.91663,400449.4,6468322,115.9407,-31.92102,399852.8,6467829,NA,NA,NA,NA,NA
Margaret_St,115.94296,-31.915709,400062.78,6468419.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,115.9466,-31.91695,400405.8,6468285,115.9409,-31.92067,399877.8,6467868,NA,NA,NA,NA,NA
Margaret_St,115.9412,-31.914194,399895.28,6468586.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,NA,NA,NA,115.9414,-31.92045,399920.1,6467893,NA,NA,NA,NA,NA
Margaret_St,115.94112,-31.914156,399887.32,6468590.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9425,-31.91867,400019,6468091,115.9418,-31.92053,399962.6,6467885,NA,NA,NA,NA,NA
Margaret_St,115.94105,-31.914153,399881.07,6468590.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9424,-31.91868,400009.9,6468090,115.942,-31.92052,399973,6467886,NA,NA,NA,NA,NA
Margaret_St,115.94096,-31.914164,399872.75,6468589.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9423,-31.91875,400004.3,6468082,115.9422,-31.92068,399993.4,6467869,NA,NA,NA,NA,NA
Margaret_St,115.94091,-31.914201,399867.37,6468585.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9424,-31.91882,400009.6,6468074,115.9423,-31.92068,400008.4,6467869,NA,NA,NA,NA,NA
Margaret_St,115.93496,-31.918427,399310.15,6468111.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9424,-31.91889,400009.5,6468067,115.9426,-31.9208,400033.7,6467855,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9423,-31.91893,400005,6468063,115.9426,-31.92088,400033.8,6467846,NA,NA,NA,NA,NA
Villers_St,115.9449931,-31.91535782,400255.0153,6468460.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9423,-31.91896,400006.4,6468059,115.9425,-31.92094,400027.6,6467839,NA,NA,NA,NA,NA
